Weapon Type,Weapon ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,Area,Battalion,Temperature,Weather Conditions
Type B,G-631,2024-12-21,4997,99.03,32,0,Brakes,Rural,North-East Battalion,28,Rainy
Type D,G-117,2024-04-23,1509,71.42,33,2,Engine,Semi-Urban,West Battalion,31,Humid
Type D,G-382,2023-11-06,8762,94.26,11,5,Transmission,Rural,North Battalion,27,Cool
Type E,G-808,2017-12-15,6388,63.71,26,2,Armor Plating,Rural,East Battalion,31,Cloudy
Type E,G-477,2020-12-15,6053,86.75,20,1,None,Urban,South Battalion,36,Hot
Type E,G-733,2023-07-13,2753,67.04,0,7,None,Rural,East Battalion,33,Cloudy
Type D,G-589,2019-06-11,9633,77.2,38,8,None,Rural,North Battalion,30,Cool
Type C,G-801,2025-02-06,3745,93.98,33,1,Brakes,Urban,East Battalion,32,Rainy
Type A,G-989,2016-06-12,688,93.59,22,1,Engine,Urban,East Battalion,31,Rainy
Type B,G-511,2023-09-10,7865,82.89,32,0,None,Rural,East Battalion,32,Cloudy
Type A,G-396,2021-06-05,4120,91.59,36,4,Armor Plating,Semi-Urban,West Battalion,36,Dry
Type D,G-698,2017-01-31,4459,78.3,19,2,None,Semi-Urban,West Battalion,34,Humid
Type D,G-732,2018-12-08,267,74.02,36,2,Radar,Rural,North-East Battalion,26,Rainy
Type C,G-543,2019-12-20,6624,67.53,32,4,None,Urban,South Battalion,32,Hot
Type B,G-401,2016-05-03,3031,78.12,22,2,None,Urban,West Battalion,36,Hot
Type A,G-341,2015-03-18,6545,89.53,36,1,None,Urban,South Battalion,35,Hot
Type A,G-454,2024-06-17,9044,92.35,17,3,Wiring,Rural,East Battalion,33,Cloudy
Type A,G-693,2016-05-15,1976,79.17,18,3,Radar,Urban,West Battalion,35,Hot
Type E,G-760,2019-04-25,136,93.02,9,4,None,Urban,North Battalion,34,Sunny
Type E,G-748,2020-07-20,8144,74.62,48,0,Radar,Urban,South Battalion,36,Hot
Type B,G-982,2017-02-21,4342,63.85,42,6,Gun System,Urban,West Battalion,35,Hot
Type B,G-603,2023-07-16,473,68.62,36,3,None,Rural,North-East Battalion,25,Rainy
Type B,G-127,2021-03-13,8723,78.34,7,4,None,Rural,North-East Battalion,29,Rainy
Type C,G-206,2016-04-01,784,93.26,32,5,Sensors,Semi-Urban,West Battalion,34,Humid
Type A,G-577,2015-03-24,878,71.44,8,5,None,Rural,North-East Battalion,25,Rainy
Type E,G-553,2015-12-01,1613,87.1,31,7,None,Rural,North-East Battalion,26,Rainy
Type B,G-168,2020-06-18,1852,82.36,4,3,Armor Plating,Urban,East Battalion,28,Rainy
Type D,G-803,2021-08-02,7367,98.22,4,4,None,Urban,West Battalion,36,Hot
Type D,G-684,2015-09-05,1043,92.87,32,6,None,Rural,South Battalion,30,Humid
Type D,G-702,2020-08-01,3090,79.65,19,2,Radar,Urban,South Battalion,33,Hot
Type E,G-871,2023-01-16,2089,97.8,33,7,Transmission,Urban,East Battalion,31,Rainy
Type B,G-242,2024-11-13,7914,93.26,23,4,None,Rural,East Battalion,32,Cloudy
Type A,G-910,2024-06-11,119,61.27,9,2,None,Rural,North Battalion,30,Cool
Type E,G-434,2024-12-20,224,75.63,40,2,None,Urban,East Battalion,29,Rainy
Type B,G-125,2021-01-30,5708,74.29,19,7,Engine,Rural,North Battalion,27,Cool
Type B,G-318,2022-09-10,5567,72.51,36,6,None,Rural,South Battalion,31,Humid
Type C,G-522,2018-04-21,698,75.33,22,2,None,Rural,North Battalion,28,Cool
Type B,G-149,2018-03-02,1137,94.13,5,8,None,Rural,South Battalion,29,Humid
Type C,G-711,2018-07-07,2900,70.32,6,2,Radar,Semi-Urban,West Battalion,31,Humid
Type E,G-197,2020-12-05,5181,74.87,14,2,Gun System,Urban,West Battalion,35,Hot
Type B,G-472,2021-11-03,1802,73.63,43,6,Navigation System,Rural,East Battalion,33,Cloudy
Type D,G-839,2022-12-29,1790,73.76,25,3,None,Urban,West Battalion,35,Hot
Type C,G-990,2018-12-14,1712,89.65,17,1,Navigation System,Rural,South Battalion,32,Humid
Type A,G-527,2017-08-26,165,79.41,18,6,None,Urban,West Battalion,36,Hot
Type A,G-169,2023-01-01,8679,78.7,11,5,None,Semi-Urban,West Battalion,40,Dry
Type C,G-627,2016-07-27,1033,66.81,18,5,Gun System,Rural,South Battalion,29,Humid
Type D,G-830,2021-06-16,7798,79.42,49,2,Brakes,Urban,South Battalion,32,Hot
Type D,G-803,2020-10-15,3018,88.03,28,7,None,Rural,South Battalion,33,Humid
Type B,G-327,2016-10-18,7006,79.41,8,3,Sensors,Rural,East Battalion,34,Cloudy
Type A,G-991,2023-02-11,3381,97.73,19,8,Armor Plating,Urban,North Battalion,35,Sunny
Type B,G-125,2018-08-12,5790,76.13,48,5,Engine,Rural,North-East Battalion,26,Rainy
Type E,G-536,2018-03-28,9122,70.47,20,6,Navigation System,Semi-Urban,West Battalion,40,Dry
Type A,G-405,2019-11-11,8184,80.45,12,5,None,Rural,South Battalion,29,Humid
Type B,G-962,2016-01-15,4144,99.43,7,5,None,Urban,East Battalion,29,Rainy
Type B,G-939,2024-03-02,994,72.41,18,3,None,Urban,West Battalion,35,Hot
Type E,G-556,2024-05-03,3123,70.4,3,4,None,Urban,North Battalion,34,Sunny
Type C,G-966,2018-04-22,9231,71.23,13,2,None,Rural,North-East Battalion,28,Rainy
Type B,G-346,2022-12-05,5631,88.81,31,4,None,Semi-Urban,West Battalion,30,Humid
Type B,G-870,2017-03-07,5645,67.76,17,0,Armor Plating,Urban,North Battalion,36,Sunny
Type B,G-410,2020-05-25,3876,65.14,4,3,None,Urban,North Battalion,35,Sunny
Type A,G-985,2023-05-03,2136,99.94,40,10,None,Rural,North-East Battalion,25,Rainy
Type A,G-804,2018-12-14,9433,92.57,7,5,None,Semi-Urban,West Battalion,40,Dry
Type A,G-278,2020-03-13,5362,75.81,15,1,Radar,Urban,North Battalion,35,Sunny
Type C,G-730,2020-05-07,6552,76.19,13,4,Engine,Urban,South Battalion,32,Hot
Type B,G-911,2018-07-10,279,98.02,18,4,Navigation System,Urban,South Battalion,36,Hot
Type D,G-978,2024-02-09,3128,70.44,29,6,Radar,Rural,North-East Battalion,29,Rainy
Type B,G-439,2015-08-06,7943,85.22,29,7,Gun System,Semi-Urban,West Battalion,34,Humid
Type D,G-504,2024-02-29,1158,62.76,20,2,None,Rural,North Battalion,30,Cool
Type D,G-608,2016-06-29,4625,79.73,33,4,None,Rural,North-East Battalion,26,Rainy
Type A,G-625,2023-05-06,5248,85.66,46,1,None,Rural,North Battalion,26,Cool
Type E,G-446,2021-02-18,8512,94.26,5,0,Transmission,Rural,South Battalion,32,Humid
Type A,G-907,2021-11-29,5266,82.29,40,1,Sensors,Urban,East Battalion,28,Rainy
Type D,G-573,2018-09-11,1497,77.07,15,4,Wiring,Rural,North Battalion,29,Cool
Type A,G-371,2016-07-20,5126,77.94,18,4,None,Rural,East Battalion,32,Cloudy
Type C,G-416,2024-04-20,6954,82.4,12,5,Radar,Rural,North-East Battalion,25,Rainy
Type A,G-464,2017-02-27,7073,92.57,49,2,None,Rural,North Battalion,29,Cool
Type D,G-375,2019-01-07,3421,80.17,4,2,None,Rural,North-East Battalion,27,Rainy
Type E,G-801,2023-08-03,5155,75.71,31,2,Sensors,Urban,East Battalion,30,Rainy
Type E,G-241,2020-12-11,5978,72.95,2,7,Armor Plating,Semi-Urban,West Battalion,37,Dry
Type B,G-582,2016-09-29,2688,99.83,25,3,None,Rural,East Battalion,33,Cloudy
Type C,G-529,2024-04-27,2497,94.59,44,2,Armor Plating,Rural,South Battalion,30,Humid
Type B,G-146,2015-05-14,8623,72.05,39,2,Transmission,Urban,North Battalion,37,Sunny
Type C,G-637,2019-07-21,9780,86.82,30,3,None,Urban,West Battalion,38,Hot
Type E,G-603,2024-09-15,6052,63.13,46,6,Wiring,Urban,East Battalion,28,Rainy
Type C,G-850,2023-06-22,2839,72.87,15,2,None,Rural,North Battalion,30,Cool
Type B,G-344,2017-12-27,1062,60.81,43,4,Radar,Urban,West Battalion,38,Hot
Type E,G-451,2019-09-28,290,72.91,20,2,None,Semi-Urban,West Battalion,39,Dry
Type A,G-884,2018-08-30,4251,83.14,45,8,None,Urban,West Battalion,35,Hot
Type A,G-460,2018-02-25,8497,84.09,28,6,Brakes,Rural,East Battalion,32,Cloudy
Type C,G-706,2016-09-17,9015,98.13,29,5,None,Rural,North Battalion,30,Cool
Type B,G-940,2019-07-23,2998,61.2,12,3,Armor Plating,Semi-Urban,West Battalion,40,Dry
Type C,G-594,2024-11-03,2573,71.0,30,3,Wiring,Rural,South Battalion,31,Humid
Type A,G-417,2018-06-07,4119,84.04,25,9,Navigation System,Urban,West Battalion,34,Hot
Type D,G-254,2023-06-03,9997,95.91,2,7,None,Semi-Urban,West Battalion,36,Dry
Type E,G-298,2024-10-05,7916,72.27,5,4,None,Urban,North Battalion,34,Sunny
Type E,G-653,2024-12-18,2093,69.15,35,6,Transmission,Rural,East Battalion,32,Cloudy
Type A,G-119,2017-05-19,5090,70.23,19,3,None,Rural,East Battalion,33,Cloudy
Type D,G-509,2024-12-17,1030,99.3,44,7,None,Rural,North-East Battalion,25,Rainy
Type E,G-626,2019-03-29,7476,85.51,22,1,Navigation System,Rural,North-East Battalion,28,Rainy
Type A,G-501,2024-12-28,6491,62.02,34,3,None,Rural,North-East Battalion,29,Rainy
Type A,G-995,2021-06-14,9314,68.11,47,4,None,Rural,North Battalion,29,Cool
Type E,G-689,2022-04-23,876,97.01,48,5,Radar,Urban,West Battalion,35,Hot
Type C,G-288,2015-09-12,4204,67.6,19,8,Sensors,Semi-Urban,West Battalion,39,Dry
Type A,G-784,2015-04-22,9446,99.54,13,8,None,Urban,South Battalion,32,Hot
Type A,G-878,2023-03-11,7994,70.08,43,4,None,Rural,South Battalion,32,Humid
Type E,G-264,2025-02-21,3925,92.66,15,10,None,Urban,North Battalion,37,Sunny
Type E,G-297,2018-05-14,7515,95.28,16,1,Radar,Semi-Urban,West Battalion,31,Humid
Type E,G-600,2024-06-25,6339,89.89,39,6,Navigation System,Urban,East Battalion,29,Rainy
Type A,G-841,2016-07-01,3521,96.65,41,8,Brakes,Semi-Urban,West Battalion,33,Humid
Type B,G-543,2024-04-06,961,64.95,47,3,None,Urban,North Battalion,36,Sunny
Type E,G-582,2020-07-25,7257,72.65,1,3,Engine,Rural,East Battalion,32,Cloudy
Type E,G-287,2019-03-01,3153,95.45,37,4,Wiring,Urban,North Battalion,33,Sunny
Type D,G-100,2019-08-03,7035,61.55,24,4,None,Semi-Urban,West Battalion,31,Humid
Type B,G-638,2022-06-30,5773,86.85,0,4,Sensors,Urban,West Battalion,34,Hot
Type E,G-480,2021-07-07,1067,97.56,1,3,Sensors,Rural,North Battalion,30,Cool
Type D,G-361,2021-03-20,700,78.16,28,4,Brakes,Urban,North Battalion,35,Sunny
Type D,G-697,2020-11-02,6191,85.99,44,5,None,Urban,West Battalion,37,Hot
Type A,G-766,2022-05-12,8819,71.6,5,10,None,Urban,South Battalion,32,Hot
Type B,G-222,2023-02-28,6457,82.3,47,5,Sensors,Semi-Urban,West Battalion,39,Dry
Type D,G-413,2023-08-11,3327,88.87,0,4,None,Semi-Urban,West Battalion,38,Dry
Type D,G-966,2017-11-14,9998,94.1,34,4,Armor Plating,Semi-Urban,West Battalion,33,Humid
Type A,G-161,2018-07-30,4711,78.46,32,7,None,Semi-Urban,West Battalion,34,Humid
Type B,G-179,2018-12-22,1859,87.1,17,10,None,Urban,North Battalion,34,Sunny
Type A,G-988,2016-10-08,4024,89.34,32,2,Navigation System,Urban,East Battalion,29,Rainy
Type B,G-420,2015-07-29,6451,84.38,19,4,None,Urban,West Battalion,38,Hot
Type C,G-339,2019-09-30,304,92.71,17,8,None,Semi-Urban,West Battalion,40,Dry
Type D,G-926,2020-09-21,7120,88.61,34,2,None,Rural,North-East Battalion,25,Rainy
Type A,G-550,2022-02-16,8419,67.05,2,3,None,Rural,North Battalion,30,Cool
Type A,G-395,2023-06-22,3044,83.93,45,3,None,Semi-Urban,West Battalion,36,Dry
Type B,G-343,2024-04-01,709,63.44,49,0,None,Urban,South Battalion,36,Hot
Type C,G-980,2019-11-19,5747,95.94,20,3,Sensors,Rural,North-East Battalion,25,Rainy
Type E,G-419,2015-07-23,5184,85.5,13,4,Gun System,Semi-Urban,West Battalion,33,Humid
Type D,G-900,2015-08-31,1310,83.22,45,3,Engine,Rural,East Battalion,33,Cloudy
Type D,G-202,2018-05-22,9479,93.67,41,7,Wiring,Urban,South Battalion,34,Hot
Type E,G-651,2019-09-10,3544,67.48,48,3,None,Urban,North Battalion,36,Sunny
Type C,G-712,2024-06-26,7825,82.41,10,6,Radar,Urban,South Battalion,33,Hot
Type C,G-715,2022-01-05,5168,80.54,40,6,None,Semi-Urban,West Battalion,38,Dry
Type E,G-698,2022-05-15,8277,79.3,16,1,None,Urban,West Battalion,35,Hot
Type D,G-830,2018-01-24,9681,82.92,0,6,Transmission,Urban,South Battalion,34,Hot
Type D,G-358,2020-07-13,4193,81.06,10,2,None,Rural,North-East Battalion,28,Rainy
Type A,G-853,2023-10-18,7673,81.04,23,4,Armor Plating,Rural,North Battalion,28,Cool
Type D,G-123,2017-04-30,3528,82.46,34,4,Engine,Urban,West Battalion,34,Hot
Type A,G-259,2020-06-17,6930,90.45,16,1,Navigation System,Semi-Urban,West Battalion,39,Dry
Type B,G-877,2020-01-01,2740,71.91,45,5,None,Urban,East Battalion,28,Rainy
Type E,G-449,2022-05-09,6830,64.1,27,2,None,Rural,East Battalion,35,Cloudy
Type E,G-395,2023-09-11,3906,71.2,5,8,None,Rural,North-East Battalion,25,Rainy
Type A,G-983,2018-11-04,5360,97.7,17,6,Wiring,Urban,South Battalion,33,Hot
Type B,G-772,2018-10-15,1292,67.18,24,2,Engine,Rural,South Battalion,31,Humid
Type C,G-733,2019-03-12,676,83.51,1,5,None,Rural,North-East Battalion,29,Rainy
Type C,G-751,2019-01-14,8256,95.08,47,7,Gun System,Semi-Urban,West Battalion,40,Dry
Type B,G-230,2021-04-15,1734,95.9,42,2,Sensors,Semi-Urban,West Battalion,36,Dry
Type D,G-858,2024-07-02,4865,83.46,20,6,Gun System,Rural,North Battalion,28,Cool
Type C,G-686,2015-05-16,4198,71.49,16,8,Armor Plating,Urban,South Battalion,35,Hot
Type A,G-218,2017-06-23,938,92.12,35,10,None,Rural,North-East Battalion,27,Rainy
Type D,G-883,2022-09-19,1861,78.92,25,2,Engine,Rural,South Battalion,33,Humid
Type A,G-344,2016-05-10,7713,66.51,13,4,Armor Plating,Urban,West Battalion,35,Hot
Type D,G-686,2017-04-21,9618,92.25,47,2,None,Semi-Urban,West Battalion,39,Dry
Type A,G-874,2015-04-29,3797,84.82,6,6,None,Rural,East Battalion,31,Cloudy
Type C,G-909,2020-09-27,6886,89.39,16,0,Sensors,Urban,West Battalion,38,Hot
Type D,G-533,2022-08-20,1730,60.18,16,4,Transmission,Rural,South Battalion,30,Humid
Type A,G-738,2024-06-14,1205,80.41,26,9,None,Urban,West Battalion,34,Hot
Type B,G-205,2019-12-06,2291,81.54,15,1,Gun System,Rural,North-East Battalion,26,Rainy
Type B,G-998,2020-09-04,6513,93.13,49,3,Navigation System,Semi-Urban,West Battalion,33,Humid
Type D,G-692,2015-10-11,5569,81.97,47,0,None,Urban,East Battalion,28,Rainy
Type D,G-630,2021-06-09,4933,83.46,50,2,None,Rural,North Battalion,27,Cool
Type D,G-687,2019-07-23,6936,95.83,1,0,None,Urban,South Battalion,36,Hot
Type A,G-625,2016-07-16,5670,69.29,46,8,Gun System,Rural,East Battalion,31,Cloudy
Type D,G-507,2024-12-14,8411,73.89,15,5,None,Urban,West Battalion,34,Hot
Type C,G-917,2017-10-22,6660,88.6,9,2,None,Semi-Urban,West Battalion,38,Dry
Type E,G-714,2015-05-28,3218,78.99,2,4,Engine,Rural,North Battalion,28,Cool
Type E,G-766,2023-02-19,7785,81.67,18,2,None,Urban,West Battalion,37,Hot
Type D,G-490,2016-09-28,7526,75.9,33,1,Transmission,Semi-Urban,West Battalion,32,Humid
Type C,G-344,2020-07-30,7970,63.95,27,3,None,Rural,South Battalion,33,Humid
Type A,G-496,2024-08-28,3673,81.27,13,1,None,Urban,South Battalion,35,Hot
Type B,G-648,2020-07-21,4589,80.71,18,5,Transmission,Urban,East Battalion,29,Rainy
Type B,G-978,2020-04-06,4651,63.86,18,8,None,Rural,East Battalion,31,Cloudy
Type E,G-886,2022-06-25,7060,92.2,36,1,Wiring,Rural,East Battalion,32,Cloudy
Type A,G-708,2024-01-20,9875,87.05,9,5,None,Rural,East Battalion,32,Cloudy
Type C,G-511,2020-04-20,635,80.22,20,9,Brakes,Urban,East Battalion,29,Rainy
Type D,G-895,2023-12-30,4899,66.85,30,7,None,Semi-Urban,West Battalion,31,Humid
Type E,G-947,2015-09-30,128,92.55,28,7,None,Urban,North Battalion,33,Sunny
Type A,G-931,2021-11-24,4794,70.75,4,0,Engine,Rural,North Battalion,29,Cool
Type B,G-191,2020-03-22,5276,76.96,47,4,None,Rural,South Battalion,30,Humid
Type C,G-962,2019-06-08,8508,64.3,29,4,None,Urban,West Battalion,36,Hot
Type C,G-931,2016-02-15,8529,77.71,39,3,None,Urban,East Battalion,29,Rainy
Type C,G-293,2018-06-09,379,79.93,47,6,None,Urban,North Battalion,33,Sunny
Type A,G-930,2021-03-17,8975,93.36,0,3,Gun System,Urban,South Battalion,34,Hot
Type C,G-689,2020-01-31,4135,93.8,40,3,None,Rural,North Battalion,29,Cool
Type C,G-304,2021-08-02,1971,76.51,31,1,Radar,Urban,North Battalion,33,Sunny
Type E,G-980,2017-05-19,758,64.14,30,2,Armor Plating,Rural,South Battalion,31,Humid
Type A,G-888,2016-03-20,7829,98.32,10,2,Radar,Rural,South Battalion,33,Humid
Type D,G-705,2019-06-23,6166,74.36,22,4,None,Rural,North-East Battalion,28,Rainy
Type B,G-210,2024-07-30,8331,75.73,3,9,None,Semi-Urban,West Battalion,40,Dry
Type C,G-797,2024-04-09,7281,93.96,40,1,None,Rural,North Battalion,28,Cool
Type C,G-221,2017-09-23,9597,90.61,28,5,Gun System,Rural,South Battalion,32,Humid
Type E,G-320,2016-08-10,2342,77.14,41,7,Gun System,Urban,East Battalion,30,Rainy
Type B,G-285,2023-12-29,443,60.22,35,4,None,Rural,North Battalion,26,Cool
Type B,G-275,2019-02-06,252,66.15,19,6,None,Rural,South Battalion,29,Humid
Type C,G-570,2018-01-14,8195,67.57,5,2,Sensors,Semi-Urban,West Battalion,33,Humid
Type A,G-941,2019-03-12,4186,72.01,20,5,None,Rural,East Battalion,32,Cloudy
Type D,G-201,2018-02-26,5093,86.1,16,1,None,Urban,West Battalion,38,Hot
Type B,G-914,2019-08-13,1792,92.76,6,6,Sensors,Urban,South Battalion,32,Hot
Type E,G-275,2022-01-27,6158,79.13,34,3,None,Rural,East Battalion,31,Cloudy
Type E,G-398,2020-07-13,6563,83.55,26,3,Gun System,Rural,North Battalion,27,Cool
Type B,G-314,2023-05-16,8408,96.2,15,1,Wiring,Semi-Urban,West Battalion,36,Dry
Type A,G-313,2024-03-13,3576,76.87,17,2,Wiring,Semi-Urban,West Battalion,38,Dry
