Aircraft Type,Aircraft ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather
Type E,A-134,2019-09-17,475,70.39,28,4,Transmission,Rajasthan,South Zone,Bravo Battalion,43.0,Sunny
Type A,A-519,2018-09-29,4710,68.99,15,4,,Gujarat,Central Command,Bravo Battalion,17.8,Foggy
Type C,A-118,2015-10-10,6151,71.59,18,10,,Kerala,West Zone,Delta Squadron,29.4,Stormy
Type C,A-252,2023-04-09,298,69.2,38,5,,Maharashtra,South Zone,Echo Force,42.6,Stormy
Type C,A-478,2015-11-07,2874,71.97,22,4,Wiring,Maharashtra,East Zone,Delta Squadron,44.4,Foggy
Type C,A-796,2019-11-18,7115,62.21,46,7,,Delhi,North Zone,Delta Squadron,39.5,Sunny
Type A,A-407,2024-08-28,3143,71.05,34,0,,Kerala,East Zone,Echo Force,10.3,Stormy
Type E,A-340,2024-02-25,7921,99.38,31,3,Engine,Maharashtra,East Zone,Charlie Battalion,16.7,Stormy
Type A,A-881,2022-02-20,2213,74.88,49,3,,Delhi,South Zone,Alpha Battalion,14.9,Cloudy
Type A,A-904,2017-03-14,1462,96.31,44,2,Brakes,Gujarat,East Zone,Alpha Battalion,32.1,Sunny
Type A,A-813,2023-04-19,3570,89.67,6,3,Wiring,Gujarat,Central Command,Delta Squadron,20.3,Cloudy
Type B,A-635,2020-07-03,9742,88.72,24,4,Radar,Kerala,Central Command,Echo Force,20.8,Windy
Type C,A-795,2024-05-28,5467,74.31,31,5,Brakes,West Bengal,Central Command,Charlie Battalion,27.5,Stormy
Type A,A-576,2019-05-22,7106,92.94,9,7,,West Bengal,East Zone,Bravo Battalion,43.4,Windy
Type C,A-568,2022-09-22,498,60.33,18,6,,West Bengal,South Zone,Delta Squadron,22.9,Windy
Type C,A-565,2015-06-05,2222,95.61,14,7,,Gujarat,East Zone,Alpha Battalion,24.9,Rainy
Type D,A-174,2021-12-06,2088,95.99,17,4,,Assam,North Zone,Alpha Battalion,17.2,Windy
Type E,A-249,2020-09-09,7295,71.06,11,5,,Assam,East Zone,Bravo Battalion,28.6,Windy
Type B,A-222,2021-05-01,3822,63.05,17,3,Gun System,Maharashtra,East Zone,Bravo Battalion,34.7,Sunny
Type C,A-140,2019-12-31,9892,86.44,37,3,,Delhi,West Zone,Delta Squadron,26.8,Rainy
Type E,A-193,2020-01-25,6801,72.36,17,8,Gun System,Rajasthan,East Zone,Charlie Battalion,20.6,Foggy
Type D,A-550,2018-03-12,7759,83.34,50,10,Armor Plating,Delhi,North Zone,Charlie Battalion,18.4,Windy
Type D,A-846,2015-09-06,7271,84.57,13,6,Wiring,Kerala,East Zone,Bravo Battalion,22.8,Sunny
Type E,A-473,2019-10-15,3782,70.3,1,9,,Uttar Pradesh,West Zone,Delta Squadron,15.9,Rainy
Type B,A-648,2024-02-08,9961,82.44,11,5,Sensors,Delhi,West Zone,Delta Squadron,30.0,Stormy
Type C,A-828,2023-05-20,817,95.74,39,2,Armor Plating,Maharashtra,West Zone,Charlie Battalion,39.2,Rainy
Type E,A-667,2019-02-23,6127,89.09,49,5,Radar,Assam,West Zone,Delta Squadron,10.4,Foggy
Type C,A-854,2017-10-11,8608,71.4,23,3,Armor Plating,Rajasthan,South Zone,Alpha Battalion,26.1,Windy
Type E,A-758,2024-08-09,9443,70.22,48,7,Wiring,Tamil Nadu,South Zone,Alpha Battalion,12.8,Rainy
Type E,A-479,2019-11-13,352,65.01,26,8,Navigation System,Rajasthan,West Zone,Delta Squadron,39.5,Cloudy
Type B,A-486,2018-08-20,2302,68.7,10,2,,Tamil Nadu,Central Command,Echo Force,44.3,Foggy
Type D,A-336,2017-11-10,1463,84.81,13,1,,Punjab,South Zone,Echo Force,35.1,Sunny
Type E,A-130,2016-01-14,866,63.69,25,5,Navigation System,Punjab,West Zone,Delta Squadron,13.0,Stormy
Type C,A-800,2017-11-02,2261,72.51,49,1,Armor Plating,Kerala,East Zone,Delta Squadron,32.5,Cloudy
Type B,A-475,2017-09-02,7535,64.56,1,5,Transmission,Tamil Nadu,South Zone,Charlie Battalion,39.8,Rainy
Type A,A-253,2015-10-01,7647,73.58,38,3,,Tamil Nadu,Central Command,Charlie Battalion,44.1,Sunny
Type A,A-796,2017-09-19,9143,66.2,49,3,,Maharashtra,Central Command,Alpha Battalion,21.2,Sunny
Type C,A-150,2024-09-04,7477,92.87,34,3,Engine,Delhi,North Zone,Charlie Battalion,40.9,Sunny
Type D,A-557,2015-03-06,5417,93.38,24,0,Armor Plating,Rajasthan,North Zone,Bravo Battalion,29.4,Foggy
Type A,A-807,2024-10-28,4584,70.37,19,3,,West Bengal,South Zone,Alpha Battalion,23.5,Cloudy
Type C,A-818,2023-07-25,8487,92.17,2,6,Engine,Gujarat,North Zone,Alpha Battalion,40.9,Windy
Type D,A-935,2015-05-19,9971,86.86,16,3,,West Bengal,South Zone,Echo Force,24.1,Stormy
Type A,A-440,2024-03-08,1332,86.07,2,6,Transmission,Punjab,East Zone,Charlie Battalion,15.1,Sunny
Type E,A-959,2019-10-19,6508,93.49,36,9,Radar,Uttar Pradesh,West Zone,Alpha Battalion,42.7,Stormy
Type D,A-311,2016-12-21,3091,65.84,4,0,Wiring,Punjab,West Zone,Charlie Battalion,44.8,Windy
Type C,A-412,2024-12-21,3439,95.5,50,3,Engine,Uttar Pradesh,South Zone,Delta Squadron,42.7,Sunny
Type A,A-147,2024-09-23,9040,70.6,25,8,,West Bengal,North Zone,Charlie Battalion,28.4,Sunny
Type B,A-854,2023-08-03,2897,76.8,16,2,,Delhi,West Zone,Bravo Battalion,26.4,Cloudy
Type B,A-944,2017-11-26,4051,68.62,10,3,,West Bengal,South Zone,Delta Squadron,27.5,Windy
Type C,A-889,2024-02-05,1796,79.73,44,3,Brakes,Assam,North Zone,Echo Force,32.2,Cloudy
Type E,A-515,2021-04-13,6339,92.19,48,9,Transmission,Rajasthan,East Zone,Echo Force,22.3,Stormy
Type A,A-397,2019-11-26,7911,82.18,30,3,Brakes,Tamil Nadu,South Zone,Bravo Battalion,14.4,Foggy
Type D,A-812,2024-04-19,9849,79.77,18,5,Engine,Rajasthan,East Zone,Echo Force,35.1,Sunny
Type E,A-944,2016-12-16,1624,90.16,29,3,Gun System,Gujarat,North Zone,Bravo Battalion,35.3,Rainy
Type C,A-979,2021-02-25,6775,96.77,19,2,Brakes,Uttar Pradesh,Central Command,Delta Squadron,12.0,Foggy
Type D,A-518,2015-10-09,9503,60.11,7,2,,Rajasthan,Central Command,Charlie Battalion,15.3,Sunny
Type D,A-458,2022-08-29,6126,83.17,47,2,,Kerala,South Zone,Delta Squadron,42.9,Stormy
Type C,A-796,2017-10-21,7007,85.11,34,7,Brakes,West Bengal,East Zone,Echo Force,35.8,Sunny
Type B,A-869,2021-11-10,9891,77.33,9,5,Transmission,West Bengal,South Zone,Delta Squadron,13.1,Stormy
Type E,A-460,2022-07-18,8643,61.65,30,6,Brakes,Kerala,North Zone,Alpha Battalion,24.6,Stormy
Type E,A-122,2019-02-07,1083,81.46,15,2,,Rajasthan,East Zone,Bravo Battalion,15.3,Stormy
Type D,A-477,2015-04-23,3529,92.21,44,1,,Gujarat,East Zone,Delta Squadron,33.9,Cloudy
Type D,A-883,2018-11-07,4295,94.13,36,2,Armor Plating,Gujarat,North Zone,Bravo Battalion,35.0,Rainy
Type B,A-887,2017-08-08,4626,65.49,1,1,,Tamil Nadu,West Zone,Alpha Battalion,10.2,Windy
Type E,A-584,2020-08-13,1034,88.6,50,5,,Kerala,East Zone,Alpha Battalion,19.7,Foggy
Type E,A-174,2019-11-19,8276,88.82,18,4,,Rajasthan,Central Command,Echo Force,14.6,Sunny
Type A,A-732,2021-06-21,7093,94.92,31,2,Radar,Maharashtra,South Zone,Echo Force,26.5,Cloudy
Type E,A-768,2020-08-16,8749,71.86,45,1,,West Bengal,West Zone,Alpha Battalion,16.7,Windy
Type E,A-827,2020-02-19,1061,73.63,30,5,,Maharashtra,North Zone,Bravo Battalion,19.4,Sunny
Type D,A-690,2024-10-31,111,73.92,18,2,,Kerala,East Zone,Alpha Battalion,15.5,Sunny
Type D,A-659,2018-11-19,6502,87.13,13,5,,Rajasthan,Central Command,Echo Force,11.4,Sunny
Type B,A-943,2017-07-29,540,83.98,47,5,Navigation System,Uttar Pradesh,West Zone,Delta Squadron,29.4,Foggy
Type C,A-544,2015-11-05,5898,74.78,9,1,Armor Plating,Maharashtra,West Zone,Charlie Battalion,37.3,Stormy
Type D,A-129,2017-03-18,471,79.84,10,2,Brakes,Maharashtra,East Zone,Charlie Battalion,33.1,Foggy
Type A,A-270,2024-05-13,6626,96.02,0,7,,Uttar Pradesh,North Zone,Alpha Battalion,18.3,Foggy
Type B,A-286,2023-11-10,3357,89.47,16,8,Sensors,Kerala,West Zone,Charlie Battalion,39.1,Sunny
Type A,A-948,2020-11-16,8189,73.49,26,3,Brakes,Maharashtra,North Zone,Alpha Battalion,44.5,Foggy
Type C,A-951,2025-01-11,2644,88.18,25,3,,Gujarat,North Zone,Echo Force,11.9,Rainy
Type D,A-123,2023-03-17,9601,85.63,11,7,Engine,Gujarat,South Zone,Alpha Battalion,30.4,Foggy
Type E,A-227,2020-06-24,807,73.78,45,1,,Kerala,Central Command,Charlie Battalion,45.0,Cloudy
Type C,A-826,2024-12-01,9292,82.1,22,7,Transmission,Tamil Nadu,South Zone,Delta Squadron,28.0,Sunny
Type B,A-104,2018-04-09,2476,96.98,7,3,,Assam,East Zone,Delta Squadron,24.6,Cloudy
Type C,A-201,2016-06-16,4465,95.71,34,10,Gun System,Delhi,North Zone,Alpha Battalion,35.7,Rainy
Type C,A-548,2015-07-13,668,91.56,35,9,Engine,Tamil Nadu,East Zone,Alpha Battalion,25.0,Stormy
Type E,A-848,2016-09-23,3713,74.23,5,2,Transmission,Assam,East Zone,Charlie Battalion,21.7,Stormy
Type C,A-890,2019-04-23,8375,60.22,12,8,,Kerala,West Zone,Delta Squadron,33.2,Rainy
Type B,A-796,2024-06-12,3286,60.2,6,4,Armor Plating,Delhi,South Zone,Alpha Battalion,20.1,Cloudy
Type D,A-539,2024-10-18,3970,74.88,36,5,,Uttar Pradesh,East Zone,Bravo Battalion,18.9,Stormy
Type C,A-110,2017-06-26,3263,96.01,33,4,Sensors,Tamil Nadu,North Zone,Charlie Battalion,40.2,Rainy
Type E,A-165,2015-05-15,1014,72.53,25,1,Gun System,Rajasthan,West Zone,Echo Force,17.1,Sunny
Type E,A-498,2023-02-16,6415,79.17,35,7,Sensors,Kerala,West Zone,Charlie Battalion,33.9,Sunny
Type E,A-276,2024-08-19,6678,92.98,7,4,,Gujarat,Central Command,Delta Squadron,39.2,Windy
Type E,A-913,2016-07-04,4824,85.83,49,3,,Maharashtra,South Zone,Bravo Battalion,19.9,Foggy
Type A,A-519,2024-09-11,5115,98.12,32,4,,Rajasthan,South Zone,Bravo Battalion,10.9,Foggy
Type E,A-916,2021-06-26,1062,93.67,25,4,,Gujarat,North Zone,Echo Force,20.3,Foggy
Type C,A-936,2022-01-17,9262,60.95,24,6,Navigation System,Assam,North Zone,Delta Squadron,12.0,Foggy
Type C,A-807,2016-08-16,9538,84.32,6,3,,Tamil Nadu,West Zone,Charlie Battalion,33.8,Windy
Type B,A-489,2017-12-14,3825,80.42,11,8,,Maharashtra,Central Command,Alpha Battalion,30.8,Cloudy
Type C,A-996,2021-02-08,3880,76.32,10,5,Radar,Delhi,Central Command,Charlie Battalion,14.9,Windy
Type B,A-906,2024-12-20,159,79.38,41,4,,Punjab,South Zone,Alpha Battalion,24.6,Rainy
Type C,A-272,2018-10-29,4042,66.13,9,5,,Tamil Nadu,West Zone,Echo Force,35.8,Cloudy
Type E,A-275,2017-06-11,9994,90.59,49,0,,Assam,South Zone,Echo Force,11.0,Windy
Type D,A-817,2020-12-13,7135,93.09,43,6,Wiring,Assam,South Zone,Charlie Battalion,31.8,Cloudy
Type D,A-607,2017-07-15,8664,65.97,23,2,Radar,Gujarat,South Zone,Echo Force,38.1,Foggy
Type B,A-132,2016-12-11,2099,77.46,3,2,,Punjab,East Zone,Bravo Battalion,33.5,Stormy
Type A,A-154,2020-04-11,2977,83.53,12,4,Transmission,Maharashtra,North Zone,Charlie Battalion,32.9,Foggy
Type E,A-836,2018-05-29,701,79.9,6,4,Radar,Punjab,South Zone,Delta Squadron,26.9,Foggy
Type A,A-421,2022-06-11,947,75.88,35,7,Engine,Delhi,West Zone,Bravo Battalion,17.7,Rainy
Type E,A-748,2022-11-06,5341,94.02,33,3,,Maharashtra,North Zone,Alpha Battalion,19.8,Rainy
Type C,A-679,2021-02-04,667,61.44,45,4,,West Bengal,West Zone,Bravo Battalion,43.6,Cloudy
Type D,A-221,2024-10-18,2772,61.47,40,8,Brakes,Rajasthan,Central Command,Charlie Battalion,37.3,Cloudy
Type A,A-664,2015-12-08,5255,61.06,27,6,,West Bengal,West Zone,Alpha Battalion,35.8,Windy
Type D,A-260,2016-04-09,5671,74.0,4,3,,Punjab,West Zone,Echo Force,28.6,Cloudy
Type A,A-796,2019-08-31,221,68.35,32,5,,Gujarat,West Zone,Delta Squadron,12.1,Sunny
Type A,A-974,2024-05-27,4047,87.63,5,3,,West Bengal,Central Command,Delta Squadron,40.0,Foggy
Type B,A-298,2020-11-16,5937,64.7,45,7,,Uttar Pradesh,South Zone,Bravo Battalion,19.6,Foggy
Type A,A-870,2018-02-11,626,89.98,15,2,Gun System,Tamil Nadu,East Zone,Alpha Battalion,16.4,Sunny
Type E,A-578,2019-07-10,7491,87.96,25,2,Sensors,Uttar Pradesh,East Zone,Bravo Battalion,42.0,Windy
Type C,A-781,2018-02-03,2644,82.39,39,1,Transmission,Rajasthan,South Zone,Bravo Battalion,31.2,Foggy
Type E,A-231,2019-10-14,669,60.1,15,6,Brakes,Punjab,Central Command,Echo Force,15.7,Cloudy
Type B,A-964,2015-06-11,8199,68.25,40,5,,Gujarat,South Zone,Alpha Battalion,40.8,Windy
Type C,A-416,2017-02-21,7128,82.39,14,4,,Tamil Nadu,East Zone,Echo Force,18.0,Stormy
Type C,A-246,2017-04-28,3610,79.72,4,3,,Delhi,West Zone,Delta Squadron,27.7,Foggy
Type A,A-734,2022-07-20,2237,63.58,10,8,Wiring,Delhi,West Zone,Echo Force,26.3,Rainy
Type D,A-835,2021-04-08,6363,77.5,40,2,Navigation System,Kerala,Central Command,Alpha Battalion,39.2,Sunny
Type B,A-564,2024-03-18,7722,89.43,3,5,,Kerala,East Zone,Charlie Battalion,38.9,Cloudy
Type E,A-265,2018-01-08,9699,98.7,18,1,Engine,Uttar Pradesh,West Zone,Alpha Battalion,24.5,Windy
Type D,A-374,2021-01-31,5182,84.44,32,3,Armor Plating,Uttar Pradesh,West Zone,Echo Force,32.5,Foggy
Type A,A-562,2016-02-19,4425,63.46,42,6,,Gujarat,West Zone,Delta Squadron,32.5,Foggy
Type B,A-960,2015-03-17,1279,72.42,47,1,Armor Plating,Delhi,South Zone,Delta Squadron,22.7,Cloudy
Type B,A-313,2019-01-18,2016,68.76,46,2,Transmission,West Bengal,North Zone,Echo Force,40.9,Stormy
Type E,A-773,2018-10-07,2536,64.41,11,5,Navigation System,Punjab,West Zone,Bravo Battalion,37.2,Rainy
Type A,A-860,2021-12-08,8141,80.31,16,7,,Assam,East Zone,Charlie Battalion,11.0,Cloudy
Type D,A-467,2018-11-24,2620,65.72,35,2,Wiring,Uttar Pradesh,East Zone,Echo Force,31.2,Rainy
Type B,A-988,2021-12-23,3445,71.25,20,2,Gun System,Uttar Pradesh,South Zone,Bravo Battalion,38.3,Stormy
Type C,A-406,2019-12-29,4925,81.18,23,5,Wiring,Punjab,South Zone,Echo Force,33.7,Cloudy
Type B,A-991,2020-03-15,5313,76.15,13,8,,Rajasthan,West Zone,Bravo Battalion,30.0,Stormy
Type C,A-632,2017-12-30,596,75.48,22,9,,Maharashtra,North Zone,Bravo Battalion,26.6,Rainy
Type D,A-795,2018-07-15,4954,86.51,12,4,,Kerala,East Zone,Delta Squadron,21.0,Foggy
Type D,A-132,2018-12-03,5029,86.05,24,3,Armor Plating,Rajasthan,North Zone,Delta Squadron,44.7,Rainy
Type E,A-399,2022-08-26,4300,85.16,10,9,,Punjab,Central Command,Echo Force,44.1,Stormy
Type A,A-758,2019-08-02,6277,96.32,45,6,,Maharashtra,South Zone,Echo Force,39.4,Rainy
Type C,A-469,2021-04-08,5609,85.28,44,5,,West Bengal,Central Command,Delta Squadron,36.3,Stormy
Type A,A-595,2024-11-20,504,88.81,33,3,Brakes,Tamil Nadu,South Zone,Echo Force,43.5,Windy
Type B,A-438,2020-10-26,941,67.69,6,9,Gun System,Rajasthan,North Zone,Alpha Battalion,34.4,Cloudy
Type E,A-141,2017-09-13,7601,66.26,44,2,Radar,Tamil Nadu,East Zone,Echo Force,34.3,Sunny
Type B,A-197,2021-02-19,9293,73.26,24,3,,Kerala,North Zone,Charlie Battalion,42.5,Sunny
Type A,A-598,2015-08-20,7550,72.34,0,6,Transmission,Kerala,East Zone,Alpha Battalion,31.5,Foggy
Type E,A-605,2021-04-20,8238,96.38,49,8,,Tamil Nadu,East Zone,Echo Force,42.5,Foggy
Type E,A-211,2019-09-03,1726,79.77,48,1,,Rajasthan,South Zone,Bravo Battalion,20.8,Rainy
Type D,A-558,2017-06-21,5413,69.71,27,4,,Punjab,West Zone,Charlie Battalion,14.8,Stormy
Type A,A-658,2017-07-10,9998,87.14,2,8,Wiring,Uttar Pradesh,South Zone,Charlie Battalion,12.4,Cloudy
Type D,A-412,2023-08-25,2950,85.12,22,2,,Gujarat,West Zone,Bravo Battalion,20.9,Foggy
Type D,A-403,2024-09-12,2113,84.85,14,6,,Gujarat,North Zone,Charlie Battalion,40.8,Sunny
Type E,A-713,2022-06-26,2233,65.65,39,4,Sensors,Delhi,West Zone,Delta Squadron,10.6,Sunny
Type E,A-576,2018-01-23,262,66.31,45,4,Sensors,Tamil Nadu,North Zone,Bravo Battalion,31.8,Stormy
Type C,A-388,2025-01-30,3700,85.45,19,6,Radar,Kerala,North Zone,Bravo Battalion,25.9,Sunny
Type C,A-431,2016-05-09,7647,63.21,20,3,,West Bengal,North Zone,Echo Force,14.9,Windy
Type C,A-401,2023-07-24,5342,70.88,49,2,,Punjab,East Zone,Bravo Battalion,27.7,Cloudy
Type D,A-266,2020-11-13,8989,83.97,27,6,Transmission,Punjab,Central Command,Echo Force,39.8,Stormy
Type C,A-334,2021-11-16,7148,74.24,8,6,Navigation System,Delhi,South Zone,Charlie Battalion,35.0,Windy
Type E,A-821,2022-10-23,7191,71.84,5,0,,Punjab,West Zone,Echo Force,18.2,Cloudy
Type A,A-846,2018-02-13,258,95.75,4,1,Sensors,Uttar Pradesh,East Zone,Alpha Battalion,40.2,Windy
Type C,A-790,2018-05-28,6140,69.38,17,0,Navigation System,Assam,West Zone,Bravo Battalion,18.3,Windy
Type E,A-100,2018-01-18,7384,67.19,23,5,,Rajasthan,Central Command,Delta Squadron,21.7,Foggy
Type E,A-893,2020-12-26,4250,85.81,3,1,Sensors,Assam,West Zone,Bravo Battalion,16.5,Sunny
Type A,A-693,2020-12-05,2626,61.81,16,4,,West Bengal,East Zone,Echo Force,38.6,Sunny
Type E,A-170,2023-02-14,9468,92.53,46,5,,Gujarat,North Zone,Alpha Battalion,25.0,Cloudy
Type B,A-377,2015-08-10,7119,69.32,23,4,,Assam,South Zone,Echo Force,38.0,Sunny
Type E,A-914,2018-11-16,9166,60.23,37,7,Gun System,Maharashtra,South Zone,Bravo Battalion,30.2,Rainy
Type C,A-161,2021-03-02,1545,61.31,17,9,Navigation System,Kerala,West Zone,Echo Force,11.9,Rainy
Type C,A-367,2023-08-10,7219,73.1,42,4,,Maharashtra,West Zone,Charlie Battalion,22.7,Foggy
Type C,A-234,2015-05-15,7699,65.59,25,8,Wiring,Gujarat,North Zone,Charlie Battalion,39.0,Stormy
Type E,A-252,2015-04-08,4903,70.82,17,4,Engine,Gujarat,West Zone,Charlie Battalion,40.9,Sunny
Type A,A-818,2019-07-13,6521,99.56,42,2,Armor Plating,Rajasthan,North Zone,Alpha Battalion,38.7,Stormy
Type E,A-159,2018-12-18,1834,64.39,8,9,,Tamil Nadu,South Zone,Alpha Battalion,13.9,Windy
Type B,A-399,2023-01-06,9281,89.9,43,10,,Kerala,West Zone,Echo Force,19.7,Rainy
Type D,A-160,2016-02-13,269,87.6,46,3,Radar,Gujarat,South Zone,Bravo Battalion,32.2,Rainy
Type B,A-902,2019-01-27,4720,69.05,0,5,,Tamil Nadu,West Zone,Alpha Battalion,17.4,Cloudy
Type A,A-200,2016-06-06,5836,66.6,28,6,,Gujarat,South Zone,Bravo Battalion,37.7,Sunny
Type E,A-817,2023-06-27,4874,89.25,42,6,,Kerala,West Zone,Delta Squadron,33.8,Cloudy
Type A,A-735,2015-05-06,4858,78.13,29,0,,Punjab,Central Command,Bravo Battalion,13.0,Foggy
Type C,A-807,2015-12-05,3330,99.3,31,3,,West Bengal,South Zone,Charlie Battalion,21.5,Rainy
Type D,A-760,2017-07-30,1107,85.15,45,5,Gun System,Tamil Nadu,East Zone,Echo Force,43.3,Cloudy
Type A,A-384,2019-12-13,320,86.38,40,3,,Uttar Pradesh,West Zone,Alpha Battalion,32.5,Sunny
Type D,A-222,2020-12-22,2611,91.82,32,4,,Delhi,North Zone,Charlie Battalion,28.1,Rainy
Type B,A-908,2022-11-14,8506,87.66,48,2,,West Bengal,East Zone,Alpha Battalion,37.2,Sunny
Type B,A-681,2017-04-16,4767,83.27,25,5,,Tamil Nadu,Central Command,Alpha Battalion,38.1,Foggy
Type D,A-105,2016-02-04,2634,81.29,5,7,Transmission,West Bengal,West Zone,Echo Force,13.4,Sunny
Type B,A-371,2019-10-27,6721,73.06,28,1,Sensors,Kerala,East Zone,Charlie Battalion,24.5,Rainy
Type A,A-592,2016-01-28,2585,79.74,40,9,Engine,Tamil Nadu,South Zone,Echo Force,26.7,Cloudy
Type E,A-122,2017-06-04,4033,66.9,41,3,,West Bengal,East Zone,Delta Squadron,44.0,Sunny
Type C,A-549,2017-01-30,8699,93.98,37,5,Wiring,West Bengal,Central Command,Charlie Battalion,21.3,Windy
Type E,A-785,2020-03-11,441,60.17,7,4,Gun System,Kerala,West Zone,Echo Force,29.0,Windy
Type D,A-623,2016-11-08,8482,89.43,32,9,,Punjab,West Zone,Echo Force,43.1,Windy
Type D,A-658,2016-11-05,3875,72.69,31,1,Gun System,West Bengal,East Zone,Delta Squadron,44.6,Foggy
Type B,A-809,2024-04-05,9912,70.36,14,7,,Gujarat,North Zone,Alpha Battalion,39.2,Cloudy
Type E,A-875,2020-06-27,3116,78.03,14,4,,Uttar Pradesh,West Zone,Bravo Battalion,13.6,Sunny
Type E,A-617,2015-10-25,926,74.86,23,2,Armor Plating,Assam,West Zone,Bravo Battalion,23.7,Windy
Type E,A-467,2015-09-26,7261,63.73,6,6,Engine,Assam,Central Command,Echo Force,19.0,Windy
Type B,A-421,2016-11-15,9206,89.35,42,6,,Delhi,West Zone,Delta Squadron,25.8,Rainy
Type D,A-829,2021-09-10,3383,96.4,31,6,Navigation System,Punjab,East Zone,Alpha Battalion,31.6,Sunny
Type E,A-137,2024-10-07,3915,84.27,2,3,,Gujarat,East Zone,Charlie Battalion,33.9,Foggy
Type A,A-470,2020-06-09,1955,76.33,0,2,,Rajasthan,South Zone,Bravo Battalion,38.4,Windy
Type D,A-304,2021-02-17,5267,96.1,32,7,Brakes,Assam,South Zone,Delta Squadron,26.9,Foggy
Type D,A-114,2015-11-11,3035,77.26,32,4,,Rajasthan,South Zone,Delta Squadron,28.3,Stormy
Type E,A-298,2017-08-21,7126,99.07,25,4,,Punjab,North Zone,Bravo Battalion,13.0,Rainy
Type D,A-244,2020-10-14,9009,72.72,49,6,,Assam,Central Command,Bravo Battalion,19.7,Cloudy
Type A,A-316,2022-07-12,332,66.37,18,1,Transmission,Tamil Nadu,North Zone,Bravo Battalion,33.1,Stormy
Type C,A-571,2024-07-16,3111,72.68,19,2,Armor Plating,Tamil Nadu,Central Command,Alpha Battalion,41.7,Cloudy
Type A,A-639,2015-09-17,8604,89.54,21,5,Navigation System,Assam,Central Command,Delta Squadron,15.2,Windy
Type A,A-243,2017-01-14,7691,77.43,23,5,Sensors,Delhi,North Zone,Bravo Battalion,20.8,Cloudy
Type D,A-550,2016-04-23,7096,88.18,5,8,,Rajasthan,East Zone,Delta Squadron,25.0,Cloudy
Type E,A-618,2024-09-25,5084,71.16,1,4,,Uttar Pradesh,South Zone,Charlie Battalion,29.3,Windy
Type D,A-666,2023-08-13,9350,75.13,12,5,,Gujarat,North Zone,Delta Squadron,38.1,Foggy
Type D,A-953,2015-03-21,5037,99.67,14,10,,West Bengal,North Zone,Alpha Battalion,22.8,Rainy
Type D,A-115,2016-11-07,5810,76.01,8,2,Brakes,Rajasthan,South Zone,Alpha Battalion,30.6,Stormy
Type D,A-454,2016-08-11,2835,88.56,27,4,Transmission,Maharashtra,North Zone,Charlie Battalion,12.1,Stormy
Type C,A-298,2015-05-30,677,89.51,22,2,,Uttar Pradesh,Central Command,Charlie Battalion,22.9,Rainy
Type E,A-266,2018-06-01,6055,72.54,16,8,,Punjab,North Zone,Bravo Battalion,17.3,Stormy
Type E,A-101,2018-05-11,2569,75.09,19,6,Engine,Tamil Nadu,South Zone,Bravo Battalion,13.1,Cloudy
Type C,A-949,2024-07-07,4902,93.75,27,6,Wiring,Punjab,West Zone,Delta Squadron,38.2,Foggy
