Vehicle Type,Vehicle ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather Conditions
Type A,V-352,2022-07-31,1153,93.71,5,2,None,Jammu & Kashmir,Mountainous,Naga Regiment,-6,Foggy
Type C,V-453,2019-01-29,1444,72.18,3,8,None,Manipur,Jungle,Punjab Regiment,28,Humid
Type C,V-168,2023-01-28,468,91.91,10,5,None,Assam,Plains,Assam Rifles,13,Foggy
Type E,V-264,2015-04-02,8800,70.87,1,7,None,Arunachal Pradesh,Jungle,Dogra Regiment,26,Heavy Rain
Type D,V-243,2024-04-22,8573,99.01,9,7,Navigation System,Rajasthan,Desert,Bihar Regiment,41,Clear Skies
Type E,V-443,2016-05-29,2910,67.37,35,2,None,Uttarakhand,Mountainous,Naga Regiment,2,Extreme Cold
Type C,V-588,2024-09-04,1454,90.6,9,3,Navigation System,Arunachal Pradesh,Jungle,Rajput Regiment,28,Foggy
Type D,V-782,2024-02-13,9799,64.47,40,9,Navigation System,Jammu & Kashmir,Mountainous,Naga Regiment,6,Snowfall
Type B,V-312,2015-03-25,4239,87.19,39,4,None,Jammu & Kashmir,Mountainous,Punjab Regiment,-10,Extreme Cold
Type E,V-206,2022-06-10,7379,90.8,50,3,None,Manipur,Jungle,Kumaon Regiment,29,Heavy Rain
Type C,V-257,2018-05-24,1344,75.19,27,4,None,Assam,Plains,Rajput Regiment,20,Mild Cold
Type E,V-618,2024-01-13,5709,64.38,22,6,Radar,Manipur,Jungle,Gorkha Rifles,21,Heavy Rain
Type C,V-153,2017-07-30,7496,68.36,11,7,None,Nagaland,Jungle,Assam Rifles,34,Humid
Type E,V-954,2015-10-14,3378,68.99,5,6,Engine,Himachal Pradesh,Hilly,Gorkha Rifles,11,Foggy
Type D,V-783,2023-03-27,3783,87.03,38,7,None,Uttarakhand,Mountainous,Gorkha Rifles,1,Extreme Cold
Type A,V-691,2015-03-14,7947,87.86,11,0,None,Arunachal Pradesh,Jungle,Dogra Regiment,32,Humid
Type B,V-849,2018-08-14,7847,72.5,14,3,Navigation System,Himachal Pradesh,Hilly,Sikh Light Infantry,20,Foggy
Type A,V-558,2020-01-29,8184,95.38,42,2,None,Manipur,Jungle,Sikh Light Infantry,29,Humid
Type E,V-375,2017-12-02,9814,83.52,39,4,None,Assam,Plains,Dogra Regiment,26,Foggy
Type C,V-550,2020-12-14,1847,65.84,43,0,None,Manipur,Jungle,Rajput Regiment,20,Humid
Type B,V-252,2018-11-06,9707,60.46,47,2,Navigation System,Himachal Pradesh,Hilly,Naga Regiment,15,Rainy
Type A,V-439,2017-08-16,8875,90.47,1,1,None,Nagaland,Jungle,Assam Rifles,35,Foggy
Type D,V-513,2019-06-21,9850,85.78,47,2,Wiring,Jammu & Kashmir,Mountainous,Bihar Regiment,10,Foggy
Type C,V-160,2016-07-14,9542,92.54,17,2,Engine,Sikkim,Mountainous,Rajput Regiment,10,Snowfall
Type B,V-309,2020-04-26,3053,61.12,40,4,None,Sikkim,Mountainous,Kumaon Regiment,-3,Snowfall
Type C,V-733,2021-03-10,5270,90.8,6,5,None,Jammu & Kashmir,Mountainous,Sikh Light Infantry,8,Extreme Cold
Type E,V-619,2017-12-22,4494,93.36,0,3,Radar,Sikkim,Mountainous,Assam Rifles,-2,Snowfall
Type D,V-578,2022-11-22,1853,96.71,2,4,Sensors,Rajasthan,Desert,Gorkha Rifles,30,Dust Storms
Type D,V-392,2019-11-21,1306,79.38,21,2,None,Sikkim,Mountainous,Jat Regiment,0,Extreme Cold
Type D,V-853,2021-06-14,8103,93.54,1,2,None,Assam,Plains,Sikh Light Infantry,28,Mild Cold
Type E,V-368,2023-04-27,2600,61.03,19,6,None,Arunachal Pradesh,Jungle,Kumaon Regiment,21,Heavy Rain
Type C,V-482,2021-12-02,8655,95.3,6,2,None,Arunachal Pradesh,Jungle,Gorkha Rifles,24,Heavy Rain
Type C,V-459,2022-02-14,225,71.12,20,7,None,Sikkim,Mountainous,Rajput Regiment,3,Extreme Cold
Type E,V-194,2018-11-17,1117,65.56,31,5,Armor Plating,Sikkim,Mountainous,Bihar Regiment,-10,Snowfall
Type B,V-901,2021-01-13,7265,86.08,25,2,None,Uttarakhand,Mountainous,Kumaon Regiment,-5,Foggy
Type E,V-975,2019-08-27,7572,98.5,28,7,Transmission,Assam,Plains,Dogra Regiment,29,Mild Cold
Type A,V-202,2015-07-01,3139,75.93,0,5,None,Assam,Plains,Kumaon Regiment,18,Mild Cold
Type D,V-981,2017-05-03,5345,94.59,27,5,Navigation System,Rajasthan,Desert,Sikh Light Infantry,38,Clear Skies
Type C,V-583,2018-05-18,3343,99.07,24,2,Gun System,Nagaland,Jungle,Bihar Regiment,24,Humid
Type B,V-738,2021-06-12,8825,93.08,42,4,None,Rajasthan,Desert,Punjab Regiment,50,Clear Skies
Type B,V-740,2017-01-16,9728,90.24,43,6,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,21,Heavy Rain
Type B,V-457,2021-06-03,7549,95.84,39,3,Gun System,Uttarakhand,Mountainous,Sikh Light Infantry,-3,Foggy
Type A,V-647,2020-06-22,8924,97.23,47,5,Armor Plating,Assam,Plains,Assam Rifles,12,Foggy
Type C,V-562,2016-10-01,6675,68.02,41,4,None,Himachal Pradesh,Hilly,Sikh Light Infantry,16,Cool Climate
Type B,V-134,2015-07-29,2303,76.87,36,2,None,Assam,Plains,Jat Regiment,26,Foggy
Type E,V-757,2023-06-11,7764,90.38,18,5,None,Manipur,Jungle,Bihar Regiment,24,Humid
Type A,V-851,2020-09-07,8924,79.81,43,1,None,Nagaland,Jungle,Naga Regiment,30,Heavy Rain
Type C,V-911,2015-06-17,9333,89.29,11,4,None,Sikkim,Mountainous,Jat Regiment,6,Foggy
Type D,V-799,2018-08-01,6317,93.72,2,2,None,Jammu & Kashmir,Mountainous,Dogra Regiment,-2,Extreme Cold
Type E,V-345,2023-04-03,5646,96.12,16,4,Navigation System,Arunachal Pradesh,Jungle,Kumaon Regiment,20,Heavy Rain
Type C,V-536,2021-08-16,8447,72.54,37,3,Wiring,Sikkim,Mountainous,Naga Regiment,4,Snowfall
Type E,V-695,2017-10-15,6144,93.56,45,5,Sensors,Sikkim,Mountainous,Jat Regiment,-4,Extreme Cold
Type C,V-588,2022-01-11,6329,92.54,32,4,None,Uttarakhand,Mountainous,Kumaon Regiment,-1,Foggy
Type E,V-598,2021-03-23,7778,86.03,2,3,Brakes,Manipur,Jungle,Rajput Regiment,24,Foggy
Type D,V-693,2020-04-25,7231,61.13,14,0,None,Arunachal Pradesh,Jungle,Dogra Regiment,21,Heavy Rain
Type D,V-843,2019-11-17,516,64.02,38,0,None,Assam,Plains,Jat Regiment,17,Foggy
Type D,V-391,2022-06-14,2866,98.22,6,4,None,Arunachal Pradesh,Jungle,Bihar Regiment,23,Humid
Type B,V-778,2022-11-26,9194,75.05,7,1,Gun System,Uttarakhand,Mountainous,Jat Regiment,8,Foggy
Type B,V-406,2018-03-06,1762,65.15,9,4,None,Punjab,Plains,Jat Regiment,24,Foggy
Type E,V-469,2017-11-22,5772,80.75,30,4,Radar,Sikkim,Mountainous,Gorkha Rifles,4,Foggy
Type C,V-685,2022-02-25,9339,81.78,22,0,None,Sikkim,Mountainous,Jat Regiment,5,Extreme Cold
Type D,V-356,2016-09-06,1178,86.34,20,3,None,Himachal Pradesh,Hilly,Naga Regiment,14,Rainy
Type B,V-417,2020-08-27,196,99.0,49,7,None,Sikkim,Mountainous,Gorkha Rifles,7,Extreme Cold
Type D,V-904,2017-04-15,5354,90.12,13,8,None,Himachal Pradesh,Hilly,Sikh Light Infantry,18,Rainy
Type A,V-221,2017-06-26,6057,63.52,29,2,Engine,Manipur,Jungle,Jat Regiment,34,Foggy
Type E,V-422,2021-11-30,292,61.28,31,1,Armor Plating,Arunachal Pradesh,Jungle,Jat Regiment,31,Foggy
Type A,V-828,2023-04-16,436,86.38,11,3,None,Sikkim,Mountainous,Sikh Light Infantry,9,Snowfall
Type D,V-686,2024-01-27,7429,99.86,16,4,None,Uttarakhand,Mountainous,Naga Regiment,1,Extreme Cold
Type B,V-271,2016-11-20,7746,77.05,29,6,None,Himachal Pradesh,Hilly,Bihar Regiment,8,Rainy
Type E,V-930,2023-01-27,8333,70.98,43,8,Wiring,Jammu & Kashmir,Mountainous,Kumaon Regiment,-1,Foggy
Type B,V-563,2019-07-28,957,92.67,10,8,None,Jammu & Kashmir,Mountainous,Gorkha Rifles,-8,Extreme Cold
Type D,V-309,2021-08-13,5829,73.17,5,9,None,Rajasthan,Desert,Rajput Regiment,46,Dust Storms
Type E,V-860,2016-02-02,718,97.93,18,5,Gun System,Assam,Plains,Gorkha Rifles,23,Clear Skies
Type D,V-312,2023-09-12,8546,70.78,41,5,Gun System,Nagaland,Jungle,Bihar Regiment,28,Heavy Rain
Type A,V-592,2015-07-13,3066,84.89,1,2,Gun System,Punjab,Plains,Sikh Light Infantry,26,Mild Cold
Type A,V-646,2015-06-05,3935,85.39,35,2,Transmission,Jammu & Kashmir,Mountainous,Rajput Regiment,-5,Extreme Cold
Type B,V-336,2024-08-21,8740,98.13,43,2,None,Arunachal Pradesh,Jungle,Punjab Regiment,26,Foggy
Type D,V-690,2016-07-05,4485,95.9,45,7,Transmission,Uttarakhand,Mountainous,Punjab Regiment,-10,Snowfall
Type E,V-646,2022-04-06,7453,73.43,46,1,Brakes,Himachal Pradesh,Hilly,Rajput Regiment,9,Foggy
Type D,V-648,2024-11-26,9445,92.14,17,3,Brakes,Uttarakhand,Mountainous,Punjab Regiment,9,Foggy
Type B,V-887,2020-09-21,1841,90.4,46,5,None,Manipur,Jungle,Assam Rifles,30,Foggy
Type C,V-527,2015-10-28,9300,92.39,36,5,None,Jammu & Kashmir,Mountainous,Bihar Regiment,10,Extreme Cold
Type A,V-360,2020-09-14,9786,94.23,32,1,None,Nagaland,Jungle,Sikh Light Infantry,32,Humid
Type E,V-459,2021-07-28,5975,76.32,10,2,Transmission,Assam,Plains,Kumaon Regiment,26,Clear Skies
Type B,V-718,2016-12-23,341,84.31,32,1,None,Himachal Pradesh,Hilly,Sikh Light Infantry,13,Rainy
Type B,V-332,2023-06-29,4829,60.18,5,8,None,Sikkim,Mountainous,Kumaon Regiment,-7,Extreme Cold
Type C,V-753,2017-06-12,9596,95.59,32,7,Brakes,Assam,Plains,Assam Rifles,28,Mild Cold
Type D,V-666,2015-03-29,8267,63.85,25,1,Navigation System,Rajasthan,Desert,Assam Rifles,43,Clear Skies
Type D,V-170,2019-03-06,3843,72.73,30,2,Gun System,Punjab,Plains,Jat Regiment,15,Mild Cold
Type A,V-710,2024-11-19,561,61.58,41,2,Radar,Punjab,Plains,Assam Rifles,17,Foggy
Type B,V-209,2017-01-31,9600,79.41,0,5,Brakes,Uttarakhand,Mountainous,Bihar Regiment,10,Snowfall
Type D,V-677,2018-06-23,5157,72.28,15,2,None,Manipur,Jungle,Naga Regiment,27,Humid
Type B,V-579,2019-08-02,2864,69.55,8,5,Brakes,Sikkim,Mountainous,Naga Regiment,-5,Foggy
Type D,V-259,2023-05-05,4124,87.06,50,4,Sensors,Himachal Pradesh,Hilly,Rajput Regiment,18,Rainy
Type B,V-165,2019-02-23,489,60.29,32,3,Navigation System,Rajasthan,Desert,Gorkha Rifles,30,Hot and Dry
Type B,V-223,2023-06-14,2114,74.17,19,4,Brakes,Uttarakhand,Mountainous,Naga Regiment,10,Snowfall
Type C,V-226,2024-05-18,7765,62.18,4,5,None,Manipur,Jungle,Gorkha Rifles,31,Foggy
Type B,V-507,2022-05-10,1094,75.52,42,4,None,Sikkim,Mountainous,Naga Regiment,7,Extreme Cold
Type B,V-313,2020-12-03,7988,64.36,45,4,Gun System,Assam,Plains,Bihar Regiment,22,Foggy
Type A,V-437,2016-06-25,4688,65.92,50,2,None,Assam,Plains,Bihar Regiment,29,Clear Skies
Type A,V-342,2017-08-13,8200,98.3,37,3,None,Rajasthan,Desert,Naga Regiment,38,Dust Storms
Type A,V-614,2020-09-09,1248,65.42,43,3,None,Nagaland,Jungle,Kumaon Regiment,25,Foggy
Type A,V-723,2019-11-29,3552,66.25,1,2,Engine,Himachal Pradesh,Hilly,Sikh Light Infantry,19,Rainy
Type B,V-709,2022-02-16,6654,93.16,23,8,None,Nagaland,Jungle,Rajput Regiment,33,Heavy Rain
Type A,V-328,2024-08-19,8394,89.88,9,4,None,Himachal Pradesh,Hilly,Kumaon Regiment,20,Foggy
Type A,V-453,2017-05-08,710,90.91,19,5,Engine,Jammu & Kashmir,Mountainous,Naga Regiment,-1,Extreme Cold
Type D,V-590,2016-12-27,3713,92.23,8,5,Armor Plating,Arunachal Pradesh,Jungle,Dogra Regiment,26,Heavy Rain
Type D,V-814,2016-05-29,6190,96.54,0,9,None,Jammu & Kashmir,Mountainous,Punjab Regiment,-7,Extreme Cold
Type B,V-721,2018-10-20,8892,94.32,29,8,Brakes,Uttarakhand,Mountainous,Assam Rifles,4,Foggy
Type E,V-311,2016-10-11,8682,72.2,46,2,None,Manipur,Jungle,Naga Regiment,26,Foggy
Type B,V-845,2018-06-28,2988,78.5,23,5,None,Manipur,Jungle,Sikh Light Infantry,20,Humid
Type A,V-734,2023-04-19,9587,98.3,32,7,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,32,Humid
Type D,V-326,2015-09-16,9867,66.38,48,1,Engine,Jammu & Kashmir,Mountainous,Bihar Regiment,2,Foggy
Type E,V-375,2019-07-05,8342,92.8,23,3,Gun System,Manipur,Jungle,Assam Rifles,25,Foggy
Type E,V-766,2022-06-01,6387,91.98,29,0,Armor Plating,Uttarakhand,Mountainous,Naga Regiment,8,Snowfall
Type B,V-677,2016-09-12,2075,85.58,30,1,Brakes,Jammu & Kashmir,Mountainous,Jat Regiment,-4,Snowfall
Type E,V-891,2021-08-01,674,81.99,49,2,None,Punjab,Plains,Assam Rifles,30,Foggy
Type B,V-278,2016-08-26,6023,80.73,7,8,Sensors,Jammu & Kashmir,Mountainous,Gorkha Rifles,-8,Snowfall
Type C,V-983,2018-06-15,870,68.62,15,2,Gun System,Nagaland,Jungle,Gorkha Rifles,31,Humid
Type B,V-652,2017-04-18,5231,99.89,30,7,Engine,Nagaland,Jungle,Punjab Regiment,22,Foggy
Type D,V-637,2020-07-27,5156,84.68,19,1,None,Rajasthan,Desert,Kumaon Regiment,46,Dust Storms
Type B,V-562,2018-12-04,9191,89.45,19,3,None,Punjab,Plains,Sikh Light Infantry,12,Foggy
Type A,V-356,2021-12-04,4020,97.6,13,4,Wiring,Himachal Pradesh,Hilly,Assam Rifles,19,Foggy
Type A,V-244,2019-08-19,7718,88.68,29,9,None,Sikkim,Mountainous,Kumaon Regiment,7,Snowfall
Type E,V-737,2018-11-09,4914,99.91,23,9,Transmission,Manipur,Jungle,Punjab Regiment,24,Heavy Rain
Type B,V-827,2024-05-19,5477,62.69,35,2,None,Punjab,Plains,Sikh Light Infantry,19,Mild Cold
Type E,V-929,2016-10-04,2982,82.93,4,3,Wiring,Sikkim,Mountainous,Bihar Regiment,-6,Foggy
Type E,V-938,2023-02-11,8368,95.41,30,3,Radar,Himachal Pradesh,Hilly,Rajput Regiment,17,Rainy
Type A,V-936,2019-09-26,4173,92.74,2,4,Wiring,Nagaland,Jungle,Jat Regiment,31,Humid
Type E,V-948,2022-11-03,9607,74.2,19,6,None,Sikkim,Mountainous,Kumaon Regiment,0,Snowfall
Type E,V-157,2024-04-19,4754,91.93,23,8,None,Arunachal Pradesh,Jungle,Gorkha Rifles,29,Humid
Type B,V-546,2025-01-08,5293,83.6,26,1,Engine,Uttarakhand,Mountainous,Assam Rifles,3,Snowfall
Type D,V-673,2015-10-04,154,64.93,29,0,None,Assam,Plains,Bihar Regiment,29,Mild Cold
Type E,V-346,2024-06-22,9146,85.92,46,2,Gun System,Punjab,Plains,Kumaon Regiment,27,Clear Skies
Type D,V-603,2022-03-02,8811,66.97,24,8,None,Himachal Pradesh,Hilly,Rajput Regiment,5,Cool Climate
Type B,V-606,2016-05-16,2570,69.01,1,2,None,Rajasthan,Desert,Assam Rifles,43,Clear Skies
Type D,V-570,2015-06-13,9798,62.65,27,9,None,Sikkim,Mountainous,Gorkha Rifles,-6,Foggy
Type B,V-931,2021-09-29,5655,60.81,8,6,None,Arunachal Pradesh,Jungle,Bihar Regiment,27,Foggy
Type C,V-973,2017-05-30,1375,75.97,47,2,None,Himachal Pradesh,Hilly,Bihar Regiment,9,Rainy
Type A,V-494,2023-09-01,9125,83.51,9,4,Transmission,Sikkim,Mountainous,Rajput Regiment,4,Snowfall
Type E,V-810,2017-09-03,494,83.52,26,6,Brakes,Sikkim,Mountainous,Sikh Light Infantry,-6,Extreme Cold
Type A,V-857,2018-08-16,9905,87.2,44,7,None,Jammu & Kashmir,Mountainous,Dogra Regiment,-3,Foggy
Type B,V-459,2021-09-02,4893,63.58,19,7,None,Assam,Plains,Sikh Light Infantry,30,Foggy
Type D,V-780,2019-10-17,5566,89.67,16,2,Brakes,Sikkim,Mountainous,Kumaon Regiment,5,Snowfall
Type E,V-669,2019-03-08,9554,73.26,25,3,None,Uttarakhand,Mountainous,Kumaon Regiment,-7,Snowfall
Type A,V-936,2020-08-18,7032,73.17,35,3,None,Manipur,Jungle,Jat Regiment,34,Foggy
Type E,V-880,2023-11-04,494,68.55,43,0,Wiring,Jammu & Kashmir,Mountainous,Kumaon Regiment,9,Extreme Cold
Type A,V-483,2024-10-15,5450,89.34,33,9,None,Sikkim,Mountainous,Naga Regiment,6,Extreme Cold
Type C,V-628,2018-01-19,6961,73.02,2,2,Navigation System,Assam,Plains,Sikh Light Infantry,28,Mild Cold
Type E,V-870,2022-06-05,4385,81.0,37,4,None,Sikkim,Mountainous,Punjab Regiment,-10,Foggy
Type B,V-910,2022-01-24,1198,80.4,45,3,None,Rajasthan,Desert,Assam Rifles,34,Dust Storms
Type E,V-614,2023-05-23,3716,91.99,23,2,None,Uttarakhand,Mountainous,Assam Rifles,-5,Extreme Cold
Type C,V-394,2021-02-08,1277,82.35,20,3,None,Himachal Pradesh,Hilly,Bihar Regiment,12,Rainy
Type C,V-592,2024-02-18,9668,67.53,23,5,Transmission,Punjab,Plains,Kumaon Regiment,25,Foggy
Type C,V-778,2023-10-16,7878,75.86,20,5,None,Nagaland,Jungle,Sikh Light Infantry,21,Humid
Type C,V-316,2016-02-17,7070,80.24,29,8,Wiring,Manipur,Jungle,Kumaon Regiment,21,Humid
Type B,V-149,2017-01-14,7456,75.08,44,6,Engine,Rajasthan,Desert,Sikh Light Infantry,43,Clear Skies
Type C,V-336,2016-08-26,6955,73.67,32,1,None,Jammu & Kashmir,Mountainous,Dogra Regiment,0,Extreme Cold
Type D,V-629,2017-11-09,5601,89.17,3,2,None,Punjab,Plains,Sikh Light Infantry,18,Mild Cold
Type A,V-619,2018-08-10,3580,78.17,8,2,Transmission,Punjab,Plains,Naga Regiment,27,Foggy
Type C,V-510,2019-06-15,4163,87.07,44,5,Wiring,Punjab,Plains,Jat Regiment,30,Mild Cold
Type E,V-891,2015-07-18,5714,68.3,18,4,None,Nagaland,Jungle,Dogra Regiment,34,Foggy
Type B,V-791,2015-06-29,122,63.95,30,4,Transmission,Assam,Plains,Sikh Light Infantry,11,Mild Cold
Type B,V-279,2023-08-15,1861,94.2,40,0,Transmission,Uttarakhand,Mountainous,Assam Rifles,7,Foggy
Type B,V-509,2016-03-26,7842,77.72,22,9,None,Jammu & Kashmir,Mountainous,Gorkha Rifles,-2,Extreme Cold
Type E,V-356,2022-04-02,4979,62.72,50,7,None,Punjab,Plains,Sikh Light Infantry,24,Foggy
Type C,V-325,2020-03-21,3848,98.12,42,4,Radar,Arunachal Pradesh,Jungle,Jat Regiment,34,Heavy Rain
Type C,V-245,2017-03-28,9484,85.21,47,4,Radar,Manipur,Jungle,Dogra Regiment,30,Foggy
Type C,V-350,2021-10-22,5131,94.15,6,10,None,Sikkim,Mountainous,Gorkha Rifles,-2,Foggy
Type A,V-824,2018-06-03,9474,97.05,10,9,None,Rajasthan,Desert,Bihar Regiment,32,Clear Skies
Type E,V-526,2024-07-14,8600,81.72,41,3,None,Punjab,Plains,Naga Regiment,30,Mild Cold
Type D,V-184,2016-09-10,6791,65.63,28,0,None,Punjab,Plains,Kumaon Regiment,24,Foggy
Type A,V-336,2023-03-23,2304,97.4,35,3,Radar,Sikkim,Mountainous,Rajput Regiment,3,Extreme Cold
Type A,V-938,2020-01-20,3744,69.93,41,10,None,Sikkim,Mountainous,Punjab Regiment,5,Foggy
Type A,V-631,2024-09-21,1534,68.35,25,4,None,Uttarakhand,Mountainous,Gorkha Rifles,0,Foggy
Type D,V-286,2017-10-24,2973,83.38,47,6,None,Punjab,Plains,Kumaon Regiment,20,Clear Skies
Type D,V-623,2020-02-08,8779,91.29,8,3,Gun System,Manipur,Jungle,Sikh Light Infantry,26,Humid
Type E,V-290,2017-10-09,6357,66.9,15,4,Engine,Himachal Pradesh,Hilly,Bihar Regiment,7,Rainy
Type D,V-211,2024-09-14,6710,62.74,24,7,Radar,Jammu & Kashmir,Mountainous,Assam Rifles,7,Extreme Cold
Type A,V-124,2015-05-25,5955,90.76,16,5,Navigation System,Uttarakhand,Mountainous,Punjab Regiment,7,Snowfall
Type A,V-671,2016-10-28,4980,92.9,9,2,Wiring,Manipur,Jungle,Sikh Light Infantry,21,Foggy
Type E,V-344,2018-06-01,9557,67.67,36,7,Navigation System,Uttarakhand,Mountainous,Punjab Regiment,4,Snowfall
Type B,V-273,2024-03-29,6567,91.31,31,9,Wiring,Uttarakhand,Mountainous,Bihar Regiment,-4,Extreme Cold
Type E,V-669,2021-01-08,4877,95.87,20,9,None,Manipur,Jungle,Dogra Regiment,34,Foggy
Type C,V-577,2016-06-05,6960,68.48,16,6,Radar,Rajasthan,Desert,Gorkha Rifles,46,Dust Storms
Type B,V-368,2015-04-09,3245,95.74,11,6,None,Punjab,Plains,Sikh Light Infantry,12,Mild Cold
Type D,V-488,2015-06-25,6443,81.24,4,5,Radar,Sikkim,Mountainous,Rajput Regiment,1,Foggy
Type B,V-967,2020-09-22,850,85.07,44,1,None,Punjab,Plains,Sikh Light Infantry,28,Mild Cold
Type D,V-959,2018-06-28,6471,94.45,49,4,Transmission,Jammu & Kashmir,Mountainous,Assam Rifles,-8,Extreme Cold
Type D,V-188,2023-10-03,7588,91.2,48,0,Armor Plating,Arunachal Pradesh,Jungle,Dogra Regiment,30,Foggy
Type C,V-972,2018-07-08,6116,99.96,20,3,None,Uttarakhand,Mountainous,Sikh Light Infantry,5,Extreme Cold
Type E,V-446,2024-03-06,3030,75.13,46,2,None,Sikkim,Mountainous,Rajput Regiment,9,Foggy
Type D,V-988,2020-02-29,3344,60.29,6,5,Engine,Nagaland,Jungle,Naga Regiment,21,Heavy Rain
Type C,V-456,2017-03-23,252,60.31,22,4,Armor Plating,Punjab,Plains,Punjab Regiment,27,Clear Skies
Type D,V-561,2022-06-14,4581,80.14,50,6,None,Punjab,Plains,Rajput Regiment,28,Mild Cold
Type A,V-509,2020-12-26,1641,76.27,31,5,Sensors,Uttarakhand,Mountainous,Rajput Regiment,-1,Snowfall
Type B,V-142,2015-09-24,9962,68.55,14,6,Sensors,Uttarakhand,Mountainous,Naga Regiment,1,Snowfall
Type D,V-790,2023-08-12,9750,91.49,18,5,Brakes,Himachal Pradesh,Hilly,Assam Rifles,17,Rainy
Type D,V-931,2015-03-09,537,64.56,30,3,None,Nagaland,Jungle,Kumaon Regiment,25,Humid
Type C,V-937,2016-08-08,1334,69.05,36,2,Radar,Rajasthan,Desert,Punjab Regiment,42,Clear Skies
Type D,V-870,2023-05-21,3572,70.25,0,6,Armor Plating,Sikkim,Mountainous,Jat Regiment,7,Extreme Cold
Type E,V-335,2017-04-25,6157,93.41,41,9,None,Uttarakhand,Mountainous,Assam Rifles,-4,Snowfall
Type C,V-590,2018-05-23,8179,86.11,43,3,Transmission,Himachal Pradesh,Hilly,Punjab Regiment,13,Rainy
Type B,V-479,2023-03-16,2835,86.63,0,9,Radar,Himachal Pradesh,Hilly,Bihar Regiment,19,Rainy
Type B,V-737,2017-10-29,3954,68.81,20,0,None,Nagaland,Jungle,Bihar Regiment,33,Heavy Rain
Type D,V-130,2019-04-06,9797,74.32,44,2,None,Jammu & Kashmir,Mountainous,Naga Regiment,-4,Snowfall
Type D,V-394,2018-02-21,6112,75.99,10,1,Navigation System,Himachal Pradesh,Hilly,Dogra Regiment,5,Rainy
Type B,V-659,2024-10-23,4779,77.52,45,1,Sensors,Himachal Pradesh,Hilly,Kumaon Regiment,9,Rainy
Type B,V-544,2023-11-08,3360,68.2,41,4,None,Manipur,Jungle,Rajput Regiment,20,Humid
Type A,V-970,2022-08-30,2294,61.26,47,3,None,Rajasthan,Desert,Sikh Light Infantry,45,Hot and Dry
Type C,V-519,2018-09-11,7764,64.4,20,10,None,Uttarakhand,Mountainous,Gorkha Rifles,2,Snowfall
Type C,V-250,2016-05-26,632,78.12,47,3,Engine,Jammu & Kashmir,Mountainous,Jat Regiment,-8,Extreme Cold
Type A,V-489,2017-07-11,1840,88.92,31,1,Sensors,Rajasthan,Desert,Assam Rifles,34,Hot and Dry
Type C,V-670,2015-10-19,5584,60.06,48,4,None,Himachal Pradesh,Hilly,Bihar Regiment,12,Cool Climate
